video_id,track_title,channel_name,play_count,first_event_index,last_event_index,first_relative_day,last_relative_day,in_music_library
lfpxuJbVaBA,"3:14 Every Night (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,7,719,1770,453,775,False
z2OLa3Nc38k,Glokk40Spaz - Swamp (Official Music Video) [Dir.ArkiveTrent + MaxPain] [Prod.Four3va + GeeQ],GL4 Spaz,7,763,1491,455,486,False
8Mm3AJNE-jQ,Alex G - Pretend,block perce,6,615,1791,447,775,False
EPMSImeIeNY,#19,Aphex Twin - Topic,6,379,1809,434,775,False
FMJoOTOBcwE,Aerie,Lena Raine - Topic,6,142,1607,392,488,True
FjG0ivBT4lQ,[Official] Celeste Original Soundtrack - 11 - Quiet and Falling,Lena Raine,6,1019,1831,474,776,False
PJ5mO_rEMOE,Glokk40Spaz - Bad Man,GL4 Spaz,6,812,1629,456,490,False
dEWIngn2_eM,"It Catches Up With You (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,6,704,1774,453,775,False
j_CSglLbGns,This Time Is Different,Lifeformed - Topic,6,195,1281,412,481,True
tTB6HmZNJ5s,"Painted Sun in Abstract (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,6,703,1764,453,775,False
05nBBznI9V0,Talk to Her,The Marías - Topic,5,100,269,376,424,False
7Qqpp09qWGo,"Pieces Form the Whole (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,5,715,1754,453,774,False
FLUn8IXBBX4,deep in it,berlioz - Topic,5,750,1633,454,490,False
RLqo708UjTw,r&r,berlioz - Topic,5,752,1634,454,490,False
ShD1jfu47Sw,Glokk40Spaz - Yung Nigga Shit,GL4 Spaz,5,1024,1447,474,486,False
XlAKW_tr4xA,"Soft Trees Break the Fall (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,5,717,1769,453,775,False
XnkQfyeHiK8,"Eventually We Find Our Own Way (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,5,711,1771,453,775,False
